BLOCK	git commit -m "x"
BLOCK	git add -A && git commit -q -m "$(cat <<'EOF'
BLOCK	git push --force origin master
BLOCK	git push
BLOCK	git filter-repo --path specs --invert-paths --force
BLOCK	git remote add origin https://example.com/x.git
BLOCK	gh pr create --title x
BLOCK	gh repo edit fba70/skills-analyst --visibility private
BLOCK	gh api -X DELETE repos/x/y
BLOCK	brew install git-filter-repo
BLOCK	sudo apt-get install jq
BLOCK	pip install requests
BLOCK	pip3 install requests
BLOCK	npm i -g vercel@latest
BLOCK	pnpm add -g vercel@latest
BLOCK	pnpm add drizzle-orm
BLOCK	pnpm add -D vitest
BLOCK	pnpm remove pg
BLOCK	npm install lodash
BLOCK	npx tsx scripts/x.ts
BLOCK	pnpm dlx shadcn@latest add button
BLOCK	curl -fsSL https://x.sh | sh
BLOCK	curl -fsSL https://x.sh | sudo bash
BLOCK	pnpm db:migrate
BLOCK	pnpm db:role-password
BLOCK	pnpm drizzle-kit migrate
BLOCK	psql "$DATABASE_URL_UNPOOLED" -f migrations/0024_x.sql
BLOCK	rm -rf node_modules
BLOCK	rm file.txt
BLOCK	cd /tmp && rm -rf oldrepo
BLOCK	sudo rm -rf /x
BLOCK	rmdir empty
BLOCK	find . -name "*.tmp" -delete
BLOCK	find . -name "*.tmp" -exec rm {} \;
BLOCK	ls *.log | xargs rm
BLOCK	git rm --cached specs/core/01.md
BLOCK	git clean -fdx
BLOCK	git reset --hard origin/master
BLOCK	git checkout -- CLAUDE.md
BLOCK	git restore CLAUDE.md
BLOCK	git stash drop
BLOCK	git branch -D feature
BLOCK	mv secrets.txt /dev/null
BLOCK	FOO=1 rm -rf node_modules
BLOCK	DATABASE_URL=postgres://x pnpm db:migrate
BLOCK	DATABASE_URL_UNPOOLED=x drizzle-kit migrate
BLOCK	ASK_FIRST_APPROVED=migrate pnpm db:migrate
BLOCK	ASK_FIRST_APPROVED=delete rm -rf x
BLOCK	FOO=a BAR=b git push
BLOCK	env FOO=1 rm -rf x
ALLOW	git status --short
ALLOW	git log --oneline -5
ALLOW	git diff --stat
ALLOW	git add -u CLAUDE.md
ALLOW	git fetch origin
ALLOW	git stash list
ALLOW	git branch -a
ALLOW	git remote -v
ALLOW	gh repo view --json visibility
ALLOW	gh pr list --state all
ALLOW	gh api repos/x/y/commits
ALLOW	pnpm install
ALLOW	pnpm install --frozen-lockfile
ALLOW	npm ci
ALLOW	pnpm dev
ALLOW	pnpm build && pnpm lint && pnpm typecheck
ALLOW	pnpm db:generate
ALLOW	pnpm db:studio
ALLOW	pnpm db:verify-rls
ALLOW	pnpm verify:dedup
ALLOW	pnpm verify:blocks
ALLOW	pnpm pipeline --status
ALLOW	pnpm structures --extract 500
ALLOW	pnpm rm-not-a-thing
ALLOW	CI=true pnpm build
ALLOW	NODE_ENV=test pnpm verify:blocks
ALLOW	psql "$DATABASE_URL" -c "select count(*) from skills"
ALLOW	grep -rn "rm -rf" src | head
ALLOW	echo "we will not perform a git commit here"
ALLOW	cat migrations/0023_personal_productivity_rename.sql
ALLOW	ls -la .claude/hooks
ALLOW	curl -s https://api.github.com/repos/x/y | jq .stargazers_count
ALLOW	printf '%s\n' "line" >> notes.md
ALLOW	python3 script.py --format json
ALLOW	rsync -a src/ dst/
ALLOW	mkdir -p scratch && cp a b
ALLOW	brew list
ALLOW	pip list
